figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
3,e,long_stress,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,9.151359196204627,8.844012030579371,9.458706361829883,5,120
3,e,stationary,EDF,queue_overflow_packet_probability,%,mean,0.0057272467051386325,0.0015809190263412713,0.009873574383935994,10,720
3,e,stress,EDF,queue_overflow_packet_probability,%,mean,3.8111893074342995,3.6176787033141307,4.004699911554469,10,720
3,e,long_stress,EDF,queue_overflow_packet_probability,%,mean,12.09867419482845,11.69053635588203,12.50681203377487,5,120
3,e,stationary,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,0.12542281799686192,0.09813826222695526,0.15270737376676857,10,720
3,e,stress,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,4.992850143963104,4.802540014293388,5.18316027363282,10,720
3,e,long_stress,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,9.716889868088836,9.379463488302719,10.054316247874954,5,120
3,e,stationary,SASP,queue_overflow_packet_probability,%,mean,0.0012816434642818546,-0.0008455458286895875,0.0034088327572532966,10,720
3,e,stress,SASP,queue_overflow_packet_probability,%,mean,1.64402331483642,1.483947564410929,1.804099065261911,10,720
3,e,long_stress,SASP,queue_overflow_packet_probability,%,mean,7.74074998397959,7.314226671274499,8.167273296684682,5,120
3,f,stationary,MaxRateMatching,deadline_expiration_class0,%,mean,0.12561462472761442,0.10300431528551553,0.14822493416971333,10,719
3,f,stress,MaxRateMatching,deadline_expiration_class0,%,mean,5.11399620197199,4.8953049324246525,5.332687471519327,10,719
3,f,long_stress,MaxRateMatching,deadline_expiration_class0,%,mean,4.759290558459601,4.482137374072896,5.0364437428463065,5,120
3,f,stationary,MaxWeight,deadline_expiration_class0,%,mean,0.25043329102014966,0.2149091797387896,0.28595740230150973,10,719
3,f,stress,MaxWeight,deadline_expiration_class0,%,mean,13.96084545593177,13.48633150630083,14.435359405562709,10,719
3,f,long_stress,MaxWeight,deadline_expiration_class0,%,mean,23.10809315813531,22.30524745968522,23.910938856585403,5,120
3,f,stationary,WeightedMaxWeight,deadline_expiration_class0,%,mean,0.11349802983517028,0.09142871837804442,0.13556734129229614,10,719
3,f,stress,WeightedMaxWeight,deadline_expiration_class0,%,mean,7.879076408341831,7.646503798421506,8.111649018262156,10,719
3,f,long_stress,WeightedMaxWeight,deadline_expiration_class0,%,mean,9.175849957687053,8.690309178465943,9.661390736908162,5,120
3,f,stationary,EDF,deadline_expiration_class0,%,mean,0.0,0.0,0.0,10,719
3,f,stress,EDF,deadline_expiration_class0,%,mean,0.036503938305628716,0.014480060676656487,0.05852781593460095,10,719
3,f,long_stress,EDF,deadline_expiration_class0,%,mean,0.7582274579446799,0.6252366288084387,0.8912182870809212,5,120
3,f,stationary,LyapunovDPP-Energy,deadline_expiration_class0,%,mean,0.9728704524227787,0.8867344736128902,1.0590064312326672,10,719
3,f,stress,LyapunovDPP-Energy,deadline_expiration_class0,%,mean,14.809934293068972,14.339830814201202,15.280037771936742,10,719
3,f,long_stress,LyapunovDPP-Energy,deadline_expiration_class0,%,mean,23.83319259391758,22.871505994112304,24.794879193722856,5,120
