suite,method,metric,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
stress,MaxRateMatching,total_packet_failure_probability,0.1189180952918238,0.11537049485551515,0.12246569572813246,10,720
stress,MaxRateMatching,throughput_mbps,3.6794298110440082,3.660473212807788,3.6983864092802285,10,720
stress,MaxRateMatching,controller_median_ms,1.4455241666666667,1.428869573199089,1.4621787601342444,10,720
stress,MaxRateMatching,controller_p95_ms,2.2158551666666657,2.161415097292633,2.2702952360406985,10,720
stress,MaxWeight,cohort_goodput_mbps,3.7040717592592594,3.68798613036354,3.7201573881549788,10,720
stress,MaxWeight,queue_overflow_packet_probability,0.04751375421425284,0.045706206498067524,0.04932130193043816,10,720
stress,MaxWeight,deadline_expiration_class0,0.13960845455931772,0.13486331506300833,0.14435359405562712,10,719
stress,MaxWeight,deadline_expiration_class1,0.07112314941338134,0.06935112197385215,0.07289517685291053,10,720
stress,MaxWeight,deadline_expiration_class2,0.02051066129651862,0.019018238271237428,0.022003084321799815,10,720
stress,MaxWeight,energy_j,0.08335981594672412,0.08277527812080579,0.08394435377264245,10,720
stress,MaxWeight,total_packet_failure_probability,0.14783723019231818,0.14280717525816516,0.1528672851264712,10,720
stress,MaxWeight,throughput_mbps,3.6457279667950346,3.628766818916162,3.662689114673907,10,720
stress,MaxWeight,controller_median_ms,1.9664520833333334,1.9442282652288756,1.9886759014377913,10,720
stress,MaxWeight,controller_p95_ms,2.707427902777776,2.6438885009811326,2.7709673045744196,10,720
stress,WeightedMaxWeight,cohort_goodput_mbps,3.7746381172839505,3.761228530599001,3.7880477039689,10,720
stress,WeightedMaxWeight,queue_overflow_packet_probability,0.04324063229245245,0.041662652369995126,0.04481861221490978,10,720
stress,WeightedMaxWeight,deadline_expiration_class0,0.07879076408341829,0.07646503798421503,0.08111649018262154,10,719
stress,WeightedMaxWeight,deadline_expiration_class1,0.06690331553147742,0.06442356161806256,0.06938306944489228,10,720
stress,WeightedMaxWeight,deadline_expiration_class2,0.034001798765623974,0.03138744347447196,0.036616154056775985,10,720
stress,WeightedMaxWeight,energy_j,0.08468000719871886,0.08400080864021336,0.08535920575722436,10,720
stress,WeightedMaxWeight,total_packet_failure_probability,0.11210020081051568,0.10844222970158875,0.11575817191944261,10,720
stress,WeightedMaxWeight,throughput_mbps,3.6887073496122538,3.669569366120585,3.7078453331039225,10,720
stress,WeightedMaxWeight,controller_median_ms,1.8540619444444446,1.8357227973762094,1.8724010915126799,10,720
stress,WeightedMaxWeight,controller_p95_ms,2.5905994166666657,2.5231411870295037,2.6580576463038277,10,720
stress,EDF,cohort_goodput_mbps,4.034663580246914,4.012748784135467,4.0565783763583605,10,720
stress,EDF,queue_overflow_packet_probability,0.038111893074343,0.03617678703314131,0.040046999115544685,10,720
stress,EDF,deadline_expiration_class0,0.0003650393830562872,0.00014480060676656489,0.0005852781593460095,10,719
stress,EDF,deadline_expiration_class1,0.0014290811116454915,0.000554126249030507,0.002304035974260476,10,720
stress,EDF,deadline_expiration_class2,2.5252525252525253e-05,-3.1872655626217286e-05,8.237770613126778e-05,10,720
stress,EDF,energy_j,0.08531286243984489,0.08463342234324692,0.08599230253644286,10,720
stress,EDF,total_packet_failure_probability,0.03866456195029698,0.03654546309649635,0.04078366080409761,10,720
stress,EDF,throughput_mbps,3.6218105259937134,3.603149763905835,3.6404712880815917,10,720
stress,EDF,controller_median_ms,1.4125116666666666,1.3828999471671828,1.4421233861661504,10,720
stress,EDF,controller_p95_ms,2.1256188194444436,2.0860493346672664,2.165188304221621,10,720
stress,LyapunovDPP-Energy,cohort_goodput_mbps,3.6715941358024686,3.6598178001171964,3.683370471487741,10,720
